;date;type;registration;operator;fatalities;location;country;cat;corrected_year
12431;1973-04-23;TUPOLEV TU-104B;CCCP-42505;AEROFLOT, NORTHERN;2;NEAR LENINGRAD-SHOSSE...;RUSSIA;H1;1973
12432;1973-04-25;CURTISS C-46;HI-201;AEROMAR;0;NEAR BOCA CHICA;DOMINICAN REP.;A1;1973
12433;1973-04-27;LOCKHEED P2V-7 NEPTUNE;4662;JAPANESE NAVY;8;NEAR IWO JIMA;JAPAN;A1;1973
12434;1973-04-30;CURTISS C-46A;HK-791;L.A. ORIENTALES;0;LETICIA AIRPORT ...;COLOMBIA;A1;1973
12435;1973-04-30;ANTONOV AN-24 ?;UNREG.;SOUTH YEMEN AF;25;WITHIN SOUTH YEMEN;YEMEN;A1;1973
12436;1973-05-01;DOUGLAS DC-7BF;HK-1300;AERONORTE, OP.FOR AEROCOSTA COLOMBIA;0;MIAMI INTERNATIO...;USA;U1;1973
12437;1973-05-01;HAL-748;VT-DXH;INDIAN AIRLINES;0;HYDERABAD-BEGUMP...;INDIA;A2;1973
12438;1973-05-02;NORD 2502F NORATLAS;6411;PORTUGUESE AF;11;MUEDA AIRPORT (MUD);MOZAMBIQUE;A1;1973
12439;1973-05-02;DOUGLAS C-47A (DC-3);VT-AYH;INDIAN AIRLINES;0;BHAVNAGAR AIRPOR...;INDIA;A2;1973
12440;1973-05-03;LISUNOV LI-2T;CCCP-04244;AEROFLOT, YAKUTSK;0;NEAR QUEEN ELIZABETH ...;ARCTIC OCEAN;A1;1973
12441;1973-05-04;DOUGLAS DC-3;UNREG.;AIR CAMBODGE;3;KAMPOT AIRPORT (...;CAMBODIA;C1;1973
12442;1973-05-04;LEARJET 24;PT-CXK;LÃ­DER TÃ¡XI AÃ©REO;3;RIO DE JANEIRO-G...;BRAZIL;A1;1973
12443;1973-05-04;HOWARD 350;N45CK;CLARKS AERIAL SERVICE;2;NEAR UNION SPRINGS, AL;USA;A1;1973
12444;1973-05-06;LOCKHEED 18 LODESTAR;N620S;KAROL INVESTMENT CORP.;2;NEAR CHUB CAY AIRPORT...;BAHAMAS;A1;1973
12445;1973-05-07;TUPOLEV TU-154;CCCP-85030;AEROFLOT, MOSCOW;0;MOSKVA-VNUKOVO A...;RUSSIA;A1;1973
12446;1973-05-10;CURTISS C-46A;N446M;PRIVATE;0;NEAR ELLINGTON AFB, TX;USA;A1;1973
12447;1973-05-10;DOUGLAS DC-8-33;HS-TGU;THAI AIRWAYS INTERNATIONAL;1;KATHMANDU-TRIBHU...;NEPAL;A1;1973
12448;1973-05-11;ILYUSHIN IL-18B;CCCP-75687;AEROFLOT, AZERBAIJAN;63;NEAR SEMIPALATINSK;KAZAKHSTAN;A1;1973
12449;1973-05-11;ANTONOV AN-2M;CCCP-05915;AEROFLOT, MOSCOW SPIMVL;0;NEAR KURSK;RUSSIA;A1;1973
12450;1973-05-14;ANTONOV AN-2R;CCCP-70569;AEROFLOT, NORTHERN;0;NEAR VOLOGDA;RUSSIA;A1;1973
12451;1973-05-14;ANTONOV AN-24V;CU-T876;CUBANA;3;HAVANA-JOSÃ© MAR...;CUBA;A1;1973
12452;1973-05-15;VICKERS 827 VISCOUNT;PP-SRD;VASP;0;SALVADOR-DOIS DE...;BRAZIL;A1;1973
12453;1973-05-18;TUPOLEV TU-104B;CCCP-42379;AEROFLOT, EAST SIBERIA;81;NEAR CHITA;RUSSIA;H1;1973
12454;1973-05-18;CONVAIR CV-580;UNREG.;AVENSA;0;UNKNOWN;CUBA;H2;1973
12455;1973-05-19;DOUGLAS C-47A (DC-3);XW-TDM;AIR UNION;11;NEAR SVAY RIENG AIRPO...;CAMBODIA;C1;1973
